,price,Date
0,not available,1997-01-06
1,3.82,1997-01-07
2,3.8,1997-01-08
3,3.61,1997-01-09
4,3.92,1997-01-10
5,4.0,1997-01-13
6,4.01,1997-01-14
7,4.34,1997-01-15
8,4.71,1997-01-16
9,3.91,1997-01-17
10,3.26,1997-01-20
11,2.99,1997-01-21
12,3.05,1997-01-22
13,2.96,1997-01-23
14,2.62,1997-01-24
15,2.98,1997-01-27
16,3.05,1997-01-28
17,2.91,1997-01-29
18,2.86,1997-01-30
19,2.77,1997-01-31
20,2.49,1997-02-03
21,2.59,1997-02-04
22,2.65,1997-02-05
23,2.51,1997-02-06
24,2.39,1997-02-07
25,2.42,1997-02-10
26,2.34,1997-02-11
27,2.42,1997-02-12
28,2.22,1997-02-13
29,2.12,1997-02-14
30,not available,1997-02-17
31,1.84,1997-02-18
32,1.95,1997-02-19
33,1.92,1997-02-20
34,1.92,1997-02-21
35,1.92,1997-02-24
36,1.77,1997-02-25
37,1.81,1997-02-26
38,1.8,1997-02-27
39,1.78,1997-02-28
40,1.8,1997-03-03
41,1.87,1997-03-04
42,1.92,1997-03-05
43,1.82,1997-03-06
44,1.89,1997-03-07
45,1.95,1997-03-10
46,1.92,1997-03-11
47,1.96,1997-03-12
48,1.98,1997-03-13
49,1.97,1997-03-14
50,2.01,1997-03-17
51,1.91,1997-03-18
52,1.88,1997-03-19
53,1.88,1997-03-20
54,1.87,1997-03-21
55,1.8,1997-03-24
56,1.85,1997-03-25
57,1.85,1997-03-26
58,1.84,1997-03-27
59,not available,1997-03-28
60,1.84,1997-03-31
61,1.95,1997-04-01
62,1.85,1997-04-02
63,1.87,1997-04-03
64,1.91,1997-04-04
65,1.99,1997-04-07
66,2.01,1997-04-08
67,1.96,1997-04-09
68,1.97,1997-04-10
69,1.98,1997-04-11
70,2.0,1997-04-14
71,2.0,1997-04-15
72,2.02,1997-04-16
73,2.08,1997-04-17
74,2.1,1997-04-18
75,2.09,1997-04-21
76,2.1,1997-04-22
77,2.22,1997-04-23
78,2.11,1997-04-24
79,2.16,1997-04-25
80,2.1,1997-04-28
81,2.09,1997-04-29
82,2.16,1997-04-30
83,2.19,1997-05-01
84,2.21,1997-05-02
85,2.23,1997-05-05
86,2.25,1997-05-06
87,2.34,1997-05-07
88,2.33,1997-05-08
89,2.3,1997-05-09
90,2.27,1997-05-12
91,2.18,1997-05-13
92,2.22,1997-05-14
93,2.25,1997-05-15
94,2.19,1997-05-16
95,2.25,1997-05-19
96,2.22,1997-05-20
97,2.21,1997-05-21
98,2.22,1997-05-22
99,2.2,1997-05-23
100,not available,1997-05-26
101,2.29,1997-05-27
102,2.34,1997-05-28
103,2.29,1997-05-29
104,2.23,1997-05-30
105,2.2,1997-06-02
106,2.11,1997-06-03
107,2.19,1997-06-04
108,2.18,1997-06-05
109,2.19,1997-06-06
110,2.19,1997-06-09
111,2.16,1997-06-10
112,2.16,1997-06-11
113,2.14,1997-06-12
114,2.15,1997-06-13
115,2.2,1997-06-16
116,2.2,1997-06-17
117,2.22,1997-06-18
118,2.23,1997-06-19
119,2.25,1997-06-20
120,2.29,1997-06-23
121,2.32,1997-06-24
122,2.32,1997-06-25
123,2.23,1997-06-26
124,2.17,1997-06-27
125,2.17,1997-06-30
126,2.16,1997-07-01
127,2.14,1997-07-02
128,2.11,1997-07-03
129,not available,1997-07-04
130,2.13,1997-07-07
131,2.13,1997-07-08
132,2.16,1997-07-09
133,2.15,1997-07-10
134,2.16,1997-07-11
135,2.18,1997-07-14
136,2.21,1997-07-15
137,2.24,1997-07-16
138,2.29,1997-07-17
139,2.26,1997-07-18
140,2.17,1997-07-21
141,2.18,1997-07-22
142,2.2,1997-07-23
143,2.24,1997-07-24
144,2.22,1997-07-25
145,2.19,1997-07-28
146,2.23,1997-07-29
147,2.19,1997-07-30
148,2.23,1997-07-31
149,2.24,1997-08-01
150,2.26,1997-08-04
151,2.33,1997-08-05
152,2.38,1997-08-06
153,2.5,1997-08-07
154,2.38,1997-08-08
155,2.53,1997-08-11
156,2.56,1997-08-12
157,2.45,1997-08-13
158,2.57,1997-08-14
159,2.53,1997-08-15
160,2.56,1997-08-18
161,2.61,1997-08-19
162,2.62,1997-08-20
163,2.45,1997-08-21
164,2.47,1997-08-22
165,2.53,1997-08-25
166,2.58,1997-08-26
167,2.51,1997-08-27
168,2.57,1997-08-28
169,2.69,1997-08-29
170,not available,1997-09-01
171,2.82,1997-09-02
172,2.86,1997-09-03
173,2.73,1997-09-04
174,2.67,1997-09-05
175,2.67,1997-09-08
176,2.74,1997-09-09
177,2.74,1997-09-10
178,2.78,1997-09-11
179,2.86,1997-09-12
180,2.88,1997-09-15
181,2.83,1997-09-16
182,2.75,1997-09-17
183,2.84,1997-09-18
184,2.94,1997-09-19
185,2.98,1997-09-22
186,3.09,1997-09-23
187,3.03,1997-09-24
188,3.05,1997-09-25
189,3.24,1997-09-26
190,3.09,1997-09-29
191,2.96,1997-09-30
192,3.08,1997-10-01
193,2.97,1997-10-02
194,2.91,1997-10-03
195,2.96,1997-10-06
196,2.81,1997-10-07
197,2.8,1997-10-08
198,2.8,1997-10-09
199,2.78,1997-10-10
200,2.87,1997-10-13
201,2.84,1997-10-14
202,2.84,1997-10-15
203,2.94,1997-10-16
204,2.97,1997-10-17
205,3.05,1997-10-20
206,3.13,1997-10-21
207,3.24,1997-10-22
208,3.34,1997-10-23
209,3.29,1997-10-24
210,3.46,1997-10-27
211,3.61,1997-10-28
212,3.45,1997-10-29
213,3.34,1997-10-30
214,3.22,1997-10-31
215,3.23,1997-11-03
216,3.15,1997-11-04
217,3.18,1997-11-05
218,3.2,1997-11-06
219,3.05,1997-11-07
220,3.2,1997-11-10
221,3.26,1997-11-11
222,3.28,1997-11-12
223,3.27,1997-11-13
224,3.25,1997-11-14
225,3.1,1997-11-17
226,3.0,1997-11-18
227,2.97,1997-11-19
228,2.77,1997-11-20
229,2.59,1997-11-21
230,2.63,1997-11-24
231,2.51,1997-11-25
232,2.5,1997-11-26
233,not available,1997-11-27
234,not available,1997-11-28
235,2.52,1997-12-01
236,2.61,1997-12-02
237,2.53,1997-12-03
238,2.48,1997-12-04
239,2.42,1997-12-05
240,2.3,1997-12-08
241,2.35,1997-12-09
242,2.45,1997-12-10
243,2.3,1997-12-11
244,2.3,1997-12-12
245,2.25,1997-12-15
246,2.29,1997-12-16
247,2.38,1997-12-17
248,2.37,1997-12-18
249,2.39,1997-12-19
250,2.36,1997-12-22
251,2.24,1997-12-23
252,2.06,1997-12-24
253,not available,1997-12-25
254,2.18,1997-12-26
255,2.33,1997-12-29
256,2.27,1997-12-30
257,2.27,1997-12-31
258,not available,1998-01-01
259,2.16,1998-01-02
260,2.05,1998-01-05
261,2.16,1998-01-06
262,2.13,1998-01-07
263,2.11,1998-01-08
264,2.09,1998-01-09
265,2.01,1998-01-12
266,2.03,1998-01-13
267,2.05,1998-01-14
268,2.07,1998-01-15
269,2.11,1998-01-16
270,not available,1998-01-19
271,2.12,1998-01-20
272,2.09,1998-01-21
273,2.1,1998-01-22
274,2.14,1998-01-23
275,2.09,1998-01-26
276,2.06,1998-01-27
277,2.09,1998-01-28
278,2.07,1998-01-29
279,2.09,1998-01-30
280,2.23,1998-02-02
281,2.27,1998-02-03
282,2.23,1998-02-04
283,2.31,1998-02-05
284,2.35,1998-02-06
285,2.25,1998-02-09
286,2.18,1998-02-10
287,2.21,1998-02-11
288,2.2,1998-02-12
289,2.22,1998-02-13
290,not available,1998-02-16
291,2.18,1998-02-17
292,2.19,1998-02-18
293,2.22,1998-02-19
294,2.2,1998-02-20
295,2.2,1998-02-23
296,2.19,1998-02-24
297,2.21,1998-02-25
298,2.28,1998-02-26
299,2.23,1998-02-27
300,2.26,1998-03-02
301,2.24,1998-03-03
302,2.19,1998-03-04
303,2.12,1998-03-05
304,2.1,1998-03-06
305,2.17,1998-03-09
306,2.25,1998-03-10
307,2.25,1998-03-11
308,2.23,1998-03-12
309,2.21,1998-03-13
310,2.2,1998-03-16
311,2.2,1998-03-17
312,2.21,1998-03-18
313,2.25,1998-03-19
314,2.28,1998-03-20
315,2.33,1998-03-23
316,2.29,1998-03-24
317,2.33,1998-03-25
318,2.29,1998-03-26
319,2.26,1998-03-27
320,2.32,1998-03-30
321,2.34,1998-03-31
322,2.45,1998-04-01
323,2.43,1998-04-02
324,2.51,1998-04-03
325,2.51,1998-04-06
326,2.51,1998-04-07
327,2.65,1998-04-08
328,2.61,1998-04-09
329,not available,1998-04-10
330,2.52,1998-04-13
331,2.42,1998-04-14
332,2.48,1998-04-15
333,2.48,1998-04-16
334,2.4,1998-04-17
335,2.4,1998-04-20
336,2.46,1998-04-21
337,2.46,1998-04-22
338,2.35,1998-04-23
339,2.31,1998-04-24
340,2.29,1998-04-27
341,2.27,1998-04-28
342,2.29,1998-04-29
343,2.18,1998-04-30
344,2.11,1998-05-01
345,2.1,1998-05-04
346,2.19,1998-05-05
347,2.12,1998-05-06
348,2.16,1998-05-07
349,2.11,1998-05-08
350,2.19,1998-05-11
351,2.23,1998-05-12
352,2.24,1998-05-13
353,2.18,1998-05-14
354,2.18,1998-05-15
355,2.19,1998-05-18
356,2.17,1998-05-19
357,2.18,1998-05-20
358,2.11,1998-05-21
359,2.02,1998-05-22
360,not available,1998-05-25
361,2.1,1998-05-26
362,2.1,1998-05-27
363,2.04,1998-05-28
364,2.1,1998-05-29
365,2.1,1998-06-01
366,2.2,1998-06-02
367,2.13,1998-06-03
368,2.04,1998-06-04
369,2.01,1998-06-05
370,2.0,1998-06-08
371,2.01,1998-06-09
372,1.98,1998-06-10
373,1.99,1998-06-11
374,2.01,1998-06-12
375,2.08,1998-06-15
376,2.1,1998-06-16
377,2.05,1998-06-17
378,2.14,1998-06-18
379,2.2,1998-06-19
380,2.35,1998-06-22
381,2.35,1998-06-23
382,2.4,1998-06-24
383,2.39,1998-06-25
384,2.4,1998-06-26
385,2.36,1998-06-29
386,2.39,1998-06-30
387,2.46,1998-07-01
388,2.36,1998-07-02
389,not available,1998-07-03
390,2.38,1998-07-06
391,2.35,1998-07-07
392,2.39,1998-07-08
393,2.38,1998-07-09
394,2.32,1998-07-10
395,2.3,1998-07-13
396,2.23,1998-07-14
397,2.21,1998-07-15
398,2.15,1998-07-16
399,2.15,1998-07-17
400,2.18,1998-07-20
401,2.09,1998-07-21
402,2.0,1998-07-22
403,2.0,1998-07-23
404,1.97,1998-07-24
405,2.0,1998-07-27
406,1.97,1998-07-28
407,1.99,1998-07-29
408,1.95,1998-07-30
409,1.85,1998-07-31
410,1.84,1998-08-03
411,1.9,1998-08-04
412,1.91,1998-08-05
413,1.85,1998-08-06
414,1.82,1998-08-07
415,1.87,1998-08-10
416,1.87,1998-08-11
417,1.85,1998-08-12
418,1.83,1998-08-13
419,1.83,1998-08-14
420,1.93,1998-08-17
421,1.94,1998-08-18
422,1.96,1998-08-19
423,1.9,1998-08-20
424,1.93,1998-08-21
425,1.9,1998-08-24
426,1.89,1998-08-25
427,1.83,1998-08-26
428,1.76,1998-08-27
429,1.66,1998-08-28
430,1.61,1998-08-31
431,1.84,1998-09-01
432,1.72,1998-09-02
433,1.71,1998-09-03
434,1.71,1998-09-04
435,not available,1998-09-07
436,1.81,1998-09-08
437,1.78,1998-09-09
438,1.88,1998-09-10
439,1.86,1998-09-11
440,1.86,1998-09-14
441,1.94,1998-09-15
442,2.15,1998-09-16
443,2.12,1998-09-17
444,2.27,1998-09-18
445,2.18,1998-09-21
446,2.29,1998-09-22
447,2.19,1998-09-23
448,2.17,1998-09-24
449,2.38,1998-09-25
450,2.23,1998-09-28
451,2.06,1998-09-29
452,2.22,1998-09-30
453,2.33,1998-10-01
454,2.14,1998-10-02
455,2.09,1998-10-05
456,2.01,1998-10-06
457,2.05,1998-10-07
458,2.02,1998-10-08
459,1.8,1998-10-09
460,1.75,1998-10-12
461,1.7,1998-10-13
462,1.8,1998-10-14
463,1.75,1998-10-15
464,1.64,1998-10-16
465,1.74,1998-10-19
466,1.95,1998-10-20
467,2.04,1998-10-21
468,1.95,1998-10-22
469,1.84,1998-10-23
470,1.92,1998-10-26
471,1.85,1998-10-27
472,1.7,1998-10-28
473,2.0,1998-10-29
474,2.0,1998-10-30
475,1.84,1998-11-02
476,2.1,1998-11-03
477,2.11,1998-11-04
478,2.26,1998-11-05
479,2.25,1998-11-06
480,2.28,1998-11-09
481,2.3,1998-11-10
482,2.33,1998-11-11
483,2.21,1998-11-12
484,2.21,1998-11-13
485,2.19,1998-11-16
486,2.12,1998-11-17
487,2.1,1998-11-18
488,2.1,1998-11-19
489,2.07,1998-11-20
490,2.02,1998-11-23
491,2.08,1998-11-24
492,2.13,1998-11-25
493,not available,1998-11-26
494,not available,1998-11-27
495,1.63,1998-11-30
496,1.41,1998-12-01
497,1.4,1998-12-02
498,1.21,1998-12-03
499,1.05,1998-12-04
500,1.44,1998-12-07
501,1.79,1998-12-08
502,1.64,1998-12-09
503,1.59,1998-12-10
504,1.55,1998-12-11
505,1.8,1998-12-14
506,1.86,1998-12-15
507,1.95,1998-12-16
508,2.02,1998-12-17
509,2.02,1998-12-18
510,2.05,1998-12-21
511,1.96,1998-12-22
512,1.88,1998-12-23
513,1.89,1998-12-24
514,not available,1998-12-25
515,1.79,1998-12-28
516,1.82,1998-12-29
517,1.81,1998-12-30
518,1.95,1998-12-31
519,not available,1999-01-01
520,2.1,1999-01-04
521,2.05,1999-01-05
522,2.04,1999-01-06
523,1.91,1999-01-07
524,1.9,1999-01-08
525,1.83,1999-01-11
526,1.82,1999-01-12
527,1.87,1999-01-13
528,1.77,1999-01-14
529,1.78,1999-01-15
530,not available,1999-01-18
531,1.77,1999-01-19
532,1.81,1999-01-20
533,1.85,1999-01-21
534,1.82,1999-01-22
535,1.76,1999-01-25
536,1.73,1999-01-26
537,1.75,1999-01-27
538,1.75,1999-01-28
539,1.83,1999-01-29
540,1.75,1999-02-01
541,1.78,1999-02-02
542,1.8,1999-02-03
543,1.79,1999-02-04
544,1.81,1999-02-05
545,1.81,1999-02-08
546,1.82,1999-02-09
547,1.8,1999-02-10
548,1.78,1999-02-11
549,1.82,1999-02-12
550,not available,1999-02-15
551,1.79,1999-02-16
552,1.79,1999-02-17
553,1.8,1999-02-18
554,1.79,1999-02-19
555,1.77,1999-02-22
556,1.75,1999-02-23
557,1.73,1999-02-24
558,1.64,1999-02-25
559,1.63,1999-02-26
560,1.65,1999-03-01
561,1.67,1999-03-02
562,1.68,1999-03-03
563,1.72,1999-03-04
564,1.74,1999-03-05
565,1.87,1999-03-08
566,1.86,1999-03-09
567,1.94,1999-03-10
568,1.87,1999-03-11
569,1.81,1999-03-12
570,1.75,1999-03-15
571,1.75,1999-03-16
572,1.75,1999-03-17
573,1.75,1999-03-18
574,1.73,1999-03-19
575,1.74,1999-03-22
576,1.8,1999-03-23
577,1.79,1999-03-24
578,1.8,1999-03-25
579,1.83,1999-03-26
580,1.8,1999-03-29
581,1.89,1999-03-30
582,2.02,1999-03-31
583,1.95,1999-04-01
584,not available,1999-04-02
585,2.03,1999-04-05
586,1.98,1999-04-06
587,2.03,1999-04-07
588,2.07,1999-04-08
589,2.1,1999-04-09
590,2.06,1999-04-12
591,2.14,1999-04-13
592,2.11,1999-04-14
593,2.14,1999-04-15
594,2.14,1999-04-16
595,2.1,1999-04-19
596,2.18,1999-04-20
597,2.17,1999-04-21
598,2.24,1999-04-22
599,2.23,1999-04-23
600,2.23,1999-04-26
601,2.32,1999-04-27
602,2.31,1999-04-28
603,2.37,1999-04-29
604,2.25,1999-04-30
605,2.23,1999-05-03
606,2.32,1999-05-04
607,2.36,1999-05-05
608,2.32,1999-05-06
609,2.25,1999-05-07
610,2.25,1999-05-10
611,2.29,1999-05-11
612,2.19,1999-05-12
613,2.21,1999-05-13
614,2.28,1999-05-14
615,2.31,1999-05-17
616,2.3,1999-05-18
617,2.27,1999-05-19
618,2.26,1999-05-20
619,2.21,1999-05-21
620,2.19,1999-05-24
621,2.18,1999-05-25
622,2.22,1999-05-26
623,2.27,1999-05-27
624,2.29,1999-05-28
625,not available,1999-05-31
626,2.34,1999-06-01
627,2.36,1999-06-02
628,2.35,1999-06-03
629,2.31,1999-06-04
630,2.41,1999-06-07
631,2.38,1999-06-08
632,2.39,1999-06-09
633,2.37,1999-06-10
634,2.3,1999-06-11
635,2.29,1999-06-14
636,2.28,1999-06-15
637,2.28,1999-06-16
638,2.24,1999-06-17
639,2.24,1999-06-18
640,2.22,1999-06-21
641,2.23,1999-06-22
642,2.25,1999-06-23
643,2.26,1999-06-24
644,2.27,1999-06-25
645,2.25,1999-06-28
646,2.33,1999-06-29
647,2.34,1999-06-30
648,2.29,1999-07-01
649,2.26,1999-07-02
650,not available,1999-07-05
651,2.29,1999-07-06
652,2.2,1999-07-07
653,2.19,1999-07-08
654,2.17,1999-07-09
655,2.12,1999-07-12
656,2.14,1999-07-13
657,2.16,1999-07-14
658,2.12,1999-07-15
659,2.18,1999-07-16
660,2.2,1999-07-19
661,2.24,1999-07-20
662,2.25,1999-07-21
663,2.32,1999-07-22
664,2.42,1999-07-23
665,2.55,1999-07-26
666,2.55,1999-07-27
667,2.58,1999-07-28
668,2.67,1999-07-29
669,2.55,1999-07-30
670,2.51,1999-08-02
671,2.61,1999-08-03
672,2.64,1999-08-04
673,2.69,1999-08-05
674,2.69,1999-08-06
675,2.73,1999-08-09
676,2.77,1999-08-10
677,2.79,1999-08-11
678,2.73,1999-08-12
679,2.71,1999-08-13
680,2.73,1999-08-16
681,2.7,1999-08-17
682,2.75,1999-08-18
683,2.87,1999-08-19
684,2.97,1999-08-20
685,2.95,1999-08-23
686,3.01,1999-08-24
687,3.1,1999-08-25
688,2.97,1999-08-26
689,2.87,1999-08-27
690,2.85,1999-08-30
691,2.84,1999-08-31
692,2.71,1999-09-01
693,2.56,1999-09-02
694,2.47,1999-09-03
695,not available,1999-09-06
696,2.56,1999-09-07
697,2.66,1999-09-08
698,2.75,1999-09-09
699,2.84,1999-09-10
700,2.8,1999-09-13
701,2.66,1999-09-14
702,2.52,1999-09-15
703,2.47,1999-09-16
704,2.45,1999-09-17
705,2.49,1999-09-20
706,2.33,1999-09-21
707,2.3,1999-09-22
708,2.45,1999-09-23
709,2.54,1999-09-24
710,2.51,1999-09-27
711,2.52,1999-09-28
712,2.57,1999-09-29
713,2.31,1999-09-30
714,2.39,1999-10-01
715,2.49,1999-10-04
716,2.45,1999-10-05
717,2.48,1999-10-06
718,2.49,1999-10-07
719,2.35,1999-10-08
720,2.53,1999-10-11
721,2.65,1999-10-12
722,2.81,1999-10-13
723,2.7,1999-10-14
724,2.66,1999-10-15
725,2.82,1999-10-18
726,2.89,1999-10-19
727,2.9,1999-10-20
728,2.99,1999-10-21
729,3.0,1999-10-22
730,2.98,1999-10-25
731,2.96,1999-10-26
732,3.02,1999-10-27
733,2.97,1999-10-28
734,2.76,1999-10-29
735,2.73,1999-11-01
736,2.81,1999-11-02
737,2.82,1999-11-03
738,2.75,1999-11-04
739,2.62,1999-11-05
740,2.59,1999-11-08
741,2.44,1999-11-09
742,2.39,1999-11-10
743,2.38,1999-11-11
744,2.16,1999-11-12
745,2.33,1999-11-15
746,2.23,1999-11-16
747,2.24,1999-11-17
748,2.22,1999-11-18
749,2.16,1999-11-19
750,2.05,1999-11-22
751,1.99,1999-11-23
752,1.96,1999-11-24
753,not available,1999-11-25
754,not available,1999-11-26
755,2.25,1999-11-29
756,2.22,1999-11-30
757,2.17,1999-12-01
758,2.18,1999-12-02
759,2.16,1999-12-03
760,2.19,1999-12-06
761,2.16,1999-12-07
762,2.23,1999-12-08
763,2.2,1999-12-09
764,2.27,1999-12-10
765,2.35,1999-12-13
766,2.49,1999-12-14
767,2.54,1999-12-15
768,2.52,1999-12-16
769,2.55,1999-12-17
770,2.67,1999-12-20
771,2.59,1999-12-21
772,2.45,1999-12-22
773,2.42,1999-12-23
774,not available,1999-12-24
775,2.36,1999-12-27
776,2.32,1999-12-28
777,2.34,1999-12-29
778,2.3,1999-12-30
779,not available,1999-12-31
780,not available,2000-01-03
781,2.16,2000-01-04
782,2.17,2000-01-05
783,2.18,2000-01-06
784,2.19,2000-01-07
785,2.2,2000-01-10
786,2.23,2000-01-11
787,2.25,2000-01-12
788,2.29,2000-01-13
789,2.28,2000-01-14
790,not available,2000-01-17
791,2.35,2000-01-18
792,2.4,2000-01-19
793,2.53,2000-01-20
794,2.55,2000-01-21
795,2.55,2000-01-24
796,2.66,2000-01-25
797,2.73,2000-01-26
798,2.76,2000-01-27
799,2.84,2000-01-28
800,2.69,2000-01-31
801,2.81,2000-02-01
802,2.91,2000-02-02
803,2.85,2000-02-03
804,2.78,2000-02-04
805,2.81,2000-02-07
806,2.6,2000-02-08
807,2.62,2000-02-09
808,2.65,2000-02-10
809,2.65,2000-02-11
810,2.61,2000-02-14
811,2.61,2000-02-15
812,2.65,2000-02-16
813,2.66,2000-02-17
814,2.65,2000-02-18
815,not available,2000-02-21
816,2.55,2000-02-22
817,2.5,2000-02-23
818,2.52,2000-02-24
819,2.51,2000-02-25
820,2.6,2000-02-28
821,2.65,2000-02-29
822,2.71,2000-03-01
823,2.8,2000-03-02
824,2.72,2000-03-03
825,2.76,2000-03-06
826,2.78,2000-03-07
827,2.74,2000-03-08
828,2.69,2000-03-09
829,not available,2000-03-10
830,2.79,2000-03-13
831,2.83,2000-03-14
832,2.76,2000-03-15
833,2.84,2000-03-16
834,2.81,2000-03-17
835,2.73,2000-03-20
836,2.74,2000-03-21
837,2.78,2000-03-22
838,2.76,2000-03-23
839,2.82,2000-03-24
840,2.82,2000-03-27
841,2.94,2000-03-28
842,2.92,2000-03-29
843,2.83,2000-03-30
844,2.88,2000-03-31
845,2.92,2000-04-03
846,2.87,2000-04-04
847,2.86,2000-04-05
848,2.98,2000-04-06
849,2.99,2000-04-07
850,2.97,2000-04-10
851,2.98,2000-04-11
852,3.05,2000-04-12
853,3.05,2000-04-13
854,3.11,2000-04-14
855,3.13,2000-04-17
856,3.12,2000-04-18
857,3.12,2000-04-19
858,3.07,2000-04-20
859,not available,2000-04-21
860,3.12,2000-04-24
861,3.18,2000-04-25
862,3.12,2000-04-26
863,3.06,2000-04-27
864,3.09,2000-04-28
865,3.16,2000-05-01
866,3.2,2000-05-02
867,3.18,2000-05-03
868,3.09,2000-05-04
869,3.11,2000-05-05
870,3.12,2000-05-08
871,3.25,2000-05-09
872,3.2,2000-05-10
873,3.37,2000-05-11
874,3.35,2000-05-12
875,3.37,2000-05-15
876,3.45,2000-05-16
877,3.49,2000-05-17
878,3.73,2000-05-18
879,3.76,2000-05-19
880,3.95,2000-05-22
881,3.85,2000-05-23
882,3.94,2000-05-24
883,4.18,2000-05-25
884,4.29,2000-05-26
885,not available,2000-05-29
886,4.35,2000-05-30
887,4.52,2000-05-31
888,4.39,2000-06-01
889,4.21,2000-06-02
890,4.17,2000-06-05
891,4.48,2000-06-06
892,4.23,2000-06-07
893,3.96,2000-06-08
894,4.14,2000-06-09
895,4.22,2000-06-12
896,4.27,2000-06-13
897,4.16,2000-06-14
898,4.38,2000-06-15
899,4.45,2000-06-16
900,4.38,2000-06-19
901,4.02,2000-06-20
902,4.14,2000-06-21
903,4.44,2000-06-22
904,4.42,2000-06-23
905,4.37,2000-06-26
906,4.55,2000-06-27
907,4.44,2000-06-28
908,4.25,2000-06-29
909,4.36,2000-06-30
910,4.36,2000-07-03
911,not available,2000-07-04
912,4.24,2000-07-05
913,4.02,2000-07-06
914,4.0,2000-07-07
915,4.19,2000-07-10
916,4.17,2000-07-11
917,4.29,2000-07-12
918,4.08,2000-07-13
919,4.17,2000-07-14
920,4.13,2000-07-17
921,3.99,2000-07-18
922,4.07,2000-07-19
923,3.86,2000-07-20
924,3.88,2000-07-21
925,3.74,2000-07-24
926,3.63,2000-07-25
927,3.59,2000-07-26
928,3.75,2000-07-27
929,3.89,2000-07-28
930,3.75,2000-07-31
931,3.78,2000-08-01
932,4.05,2000-08-02
933,4.23,2000-08-03
934,4.25,2000-08-04
935,4.39,2000-08-07
936,4.46,2000-08-08
937,4.48,2000-08-09
938,4.43,2000-08-10
939,4.44,2000-08-11
940,4.42,2000-08-14
941,4.24,2000-08-15
942,4.24,2000-08-16
943,4.35,2000-08-17
944,4.38,2000-08-18
945,4.6,2000-08-21
946,4.8,2000-08-22
947,4.67,2000-08-23
948,4.53,2000-08-24
949,4.55,2000-08-25
950,4.62,2000-08-28
951,4.6,2000-08-29
952,4.61,2000-08-30
953,4.76,2000-08-31
954,4.7,2000-09-01
955,not available,2000-09-04
956,4.81,2000-09-05
957,4.89,2000-09-06
958,4.85,2000-09-07
959,4.74,2000-09-08
960,4.85,2000-09-11
961,4.96,2000-09-12
962,5.06,2000-09-13
963,5.1,2000-09-14
964,5.28,2000-09-15
965,5.06,2000-09-18
966,5.22,2000-09-19
967,5.24,2000-09-20
968,5.16,2000-09-21
969,5.16,2000-09-22
970,5.12,2000-09-25
971,5.28,2000-09-26
972,5.34,2000-09-27
973,5.2,2000-09-28
974,5.1,2000-09-29
975,5.24,2000-10-02
976,5.29,2000-10-03
977,5.22,2000-10-04
978,5.21,2000-10-05
979,5.04,2000-10-06
980,5.09,2000-10-09
981,5.16,2000-10-10
982,5.1,2000-10-11
983,5.54,2000-10-12
984,5.43,2000-10-13
985,5.34,2000-10-16
986,5.27,2000-10-17
987,5.36,2000-10-18
988,5.04,2000-10-19
989,4.84,2000-10-20
990,4.82,2000-10-23
991,4.84,2000-10-24
992,4.64,2000-10-25
993,4.61,2000-10-26
994,4.48,2000-10-27
995,4.56,2000-10-30
996,4.37,2000-10-31
997,4.4,2000-11-01
998,4.5,2000-11-02
999,4.64,2000-11-03
1000,4.6,2000-11-06
1001,4.68,2000-11-07
1002,4.92,2000-11-08
1003,5.34,2000-11-09
1004,5.24,2000-11-10
1005,5.59,2000-11-13
1006,5.81,2000-11-14
1007,5.95,2000-11-15
1008,5.94,2000-11-16
1009,5.62,2000-11-17
1010,6.23,2000-11-20
1011,6.35,2000-11-21
1012,6.3,2000-11-22
1013,not available,2000-11-23
1014,not available,2000-11-24
1015,6.24,2000-11-27
1016,5.9,2000-11-28
1017,5.93,2000-11-29
1018,6.31,2000-11-30
1019,6.53,2000-12-01
1020,7.41,2000-12-04
1021,8.03,2000-12-05
1022,8.75,2000-12-06
1023,8.48,2000-12-07
1024,8.13,2000-12-08
1025,9.96,2000-12-11
1026,8.58,2000-12-12
1027,7.8,2000-12-13
1028,7.48,2000-12-14
1029,8.03,2000-12-15
1030,9.28,2000-12-18
1031,9.11,2000-12-19
1032,9.95,2000-12-20
1033,10.49,2000-12-21
1034,10.48,2000-12-22
1035,not available,2000-12-25
1036,10.23,2000-12-26
1037,9.58,2000-12-27
1038,9.22,2000-12-28
